native_class,domains,source_chars
qv,TIME|UI,1240
rba,BLUEPRINT|MISSION|TIME|RESOURCE|UI,1306
rdb,TIME|UI,1263
re,TIME|UI,1232
rla,MISSION|TIME|UI,1241
rma,TIME|UI,1269
rna,TIME|UI,1262
rpa,TIME|UI,1215
rqa,TIME|UI,1273
rsa,TIME|UI,1246
rsb,MISSION|TIME|UI,1394
sba,TIME|UI,1306
sfa,TIME|UI,1213
sg,PHYSICS|WEAPON|MISSION|COMPONENT|TIME|ENERGY|BLUEPRINT|UI,12201
skb,WEAPON|TIME|UI,1302
slb,TIME|UI,1295
sma,TIME|UI,1260
sna,UI,1213
soa,UI,1234
spa,TIME|UI,1212
ssa,FIGHTER|TIME|UI,1269
tab,TIME|UI,1262
tca,TIME|UI,1301
tdb,TIME|UI,1236
tfa,TIME|UI,1265
tj,WEAPON|MISSION|TIME|UI,1709
tla,MASS|TIME|UI,1194
tta,TIME|UI,1279
tw,BLUEPRINT|MISSION|TIME|UI,1287
uca,PHYSICS|WEAPON|MISSION|COMPONENT|COLOR|SYMBOL|TIME|ENERGY|BLUEPRINT|RESOURCE|NETWORK|UI,9461
ufb,TIME|UI,1254
uga,PHYSICS|WEAPON|MISSION|COMPONENT|COLOR|SYMBOL|TIME|ENERGY|BLUEPRINT|RESOURCE|NETWORK|UI,10512
uh,PHYSICS|TIME|UI,1336
uhb,TIME|UI,1273
una,MISSION|TIME|UI,1237
uoa,MISSION|TIME|UI,1224
up,TIME|UI,1250
vba,MISSION|TIME|UI,1280
vj,FIGHTER|TIME|UI,1440
vm,BLUEPRINT|TIME|UI,1427
vna,TIME|UI,1291
vob,TIME|UI,1268
vpa,MISSION|TIME|UI,1278
vp,MISSION|TIME|UI,1367
vqb,TIME|UI,1295
vua,TIME|UI,1190
wgb,TIME|UI,1294
wja,TIME|UI,1235
wna,TIME|UI,1237
wqb,PHYSICS|WEAPON|MISSION|COMPONENT|TIME|ENERGY|BLUEPRINT|UI,4452
woa,WEAPON|TIME|UI,1304
ws,TIME|UI,1244
