symbol_or_expression,occurrences,source_notes
javap-all.txt,3,ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILER_HANDOFF.md; ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
javap-targeted/,2,ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
jk.java,4,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/full_jar_semantic_census.md
JUMP_HEIGHT,1,02_BASELINE_GAMEPLAY_LOOP.md
k,2,01_GAME_STRUCTURE_INVENTORY.md
kga,3,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
kga.a,1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
"kga.a(107, sp.p)",1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
kga.java,4,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/full_jar_semantic_census.md
Kinetic,1,01_GAME_STRUCTURE_INVENTORY.md
kra,2,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
kra.a,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
kra.a[],4,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
kra.java,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
l,1,01_GAME_STRUCTURE_INVENTORY.md
l = 50,2,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
"LaunchScale * DebrisProperty / max(OffsetLength, 1)",1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
LOBBY_DURATION_SEC,1,02_BASELINE_GAMEPLAY_LOOP.md
lw.a,3,00_RAW_FORENSIC_REFERENCE.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
"lw.a(..., u) * z",1,00_RAW_FORENSIC_REFERENCE.md
lw.java,4,00_RAW_FORENSIC_REFERENCE.md
m,3,01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md
mainClass=VoidHunters,1,DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md
mass,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
MatchState,1,04_DIRECTIVES_AND_CHANGELOG.md
MatchState.luau,2,01_GAME_STRUCTURE_INVENTORY.md
math.clamp,2,10_ROBLOX_LUAU_REFERENCE.md
math.huge,2,10_ROBLOX_LUAU_REFERENCE.md
METHOD_INDEX.tsv,3,ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILED_SOURCE_HANDOFF.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
METHOD_REFERENCE_INDEX.tsv,2,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
mfa,2,DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md
mib,2,DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md
Mission,1,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
MISSION_SYMBOL_AND_STATE_NOTES.md,2,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
MISSION_SYMBOL_INDEX.md,4,00_SOURCE_INDEX.md; 22_MISSION_FRAMEWORK_MIGRATION.md
MissionActionService,2,22_MISSION_FRAMEWORK_MIGRATION.md
MissionActionService.luau,1,MISSION_SYMBOL_INDEX.md
MissionConditionService,2,22_MISSION_FRAMEWORK_MIGRATION.md
MissionConditionService.luau,1,MISSION_SYMBOL_INDEX.md
MissionDefinition,1,22_MISSION_FRAMEWORK_MIGRATION.md
MissionService,2,22_MISSION_FRAMEWORK_MIGRATION.md
MissionService.luau,1,MISSION_SYMBOL_INDEX.md
MissionState,1,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
MissionTypes,1,22_MISSION_FRAMEWORK_MIGRATION.md
MissionTypes.luau,1,MISSION_SYMBOL_INDEX.md
ml,6,00_RAW_FORENSIC_REFERENCE.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
ml.a,4,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"ml.a(byte,int[])",2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"ml.a(int,int,int)",2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ml.DA,8,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ml.DA(...),2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ml.e,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ml.e(-86),1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ml.e(byte),1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ml.java,17,00_RAW_FORENSIC_REFERENCE.md; 01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ml.MC,3,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ml.MC(),3,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ml.VA,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ml.VA(),5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
Model,1,10_ROBLOX_LUAU_REFERENCE.md
model.PrimaryPart,1,10_ROBLOX_LUAU_REFERENCE.md
Model:PivotTo,1,10_ROBLOX_LUAU_REFERENCE.md
MOMENT_OF_INERTIA_PERPOINT_CALC_DOWNSHIFT = 8,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
MOMENT_OF_INERTIA_PREDIVIDE_DOWNSHIFT = 12,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
n,3,01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n += angularDelta,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
n10 < 0 && n9 < -128,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n10 > 1 && n9 > 128,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n15 < 0,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n15 >= 0,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n2,2,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
"n2 * debrisProperty / max(offsetLength, 1)",1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
n3/n4,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n4,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n4 = n2 * nbb.e(false) / n6,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"n5 = ecb.a(n7, (byte)-77, n8)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n6 < 0 && n5 < -128,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n6 = 1,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"n6 = ar.a(n8, (byte)110, n7)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n6 > 0 && n5 > 128,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
n7 = nbb.g((byte)126) - this.n,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
n8 = nbb.d(false) - this.r,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
native_class_inventory.csv,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
native_configuration_values.csv,22,00_DEFINITIVE_ORIGINAL_JAR.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md; DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_CENSUS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md; DEFINITIVE_VALUES/README.md
NativeDebrisPhysics,1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
NativeDebrisPhysics.luau,1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
nativeMagnitude,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
NativeThrusterOperator,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
NativeThrusterOperator.luau,3,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
NativeTrigTable.luau,7,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
NativeWeaponConfig.luau,1,34_NATIVE_WEAPON_PARAMETER_CONTRACT.md
nbb,5,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
nbb.d,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb.e,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
nbb.e(false),1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
nbb.G,5,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb.g,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb.G(...),1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb.java,4,00_RAW_FORENSIC_REFERENCE.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb2.a,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"nbb2.a(this.n, <launch-angle>, this.r, n4, 1948934248)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb2.f,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb2.f = anb2.f,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb2.h,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
nbb2.h = anb2.h,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"new nbb(ml, false)",1,01_GAME_STRUCTURE_INVENTORY.md
Notification,1,03_NETWORK_RPC_MANIFEST.md
o,2,01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md
o += n2,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
oq.java,2,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
oq.l,1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
oq.l = 50,1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
original.jar,4,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md; ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
ORIGINAL_DATA_VERIFIED,1,00_SOURCE_INDEX.md
ORIGINAL_JAR/,1,FORENSIC_README.md
ou.<clinit>,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ou.r,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ou.r = 8,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
OutConnectCount,1,26_COMPONENT_DEFINITION_VALIDATION.md
p,4,01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md
p != 0,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"p / max(m >> wf.e, 1)",1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"p = lw.a(..., u) * z",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
PACKAGE_INDEX.tsv,1,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md
pairs,1,10_ROBLOX_LUAU_REFERENCE.md
parent.o,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
parent.o = 0,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
parent.p,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
parent.p = 0,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
parent.t,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
parent.t = 0,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
part.CFrame,1,10_ROBLOX_LUAU_REFERENCE.md
Part.Size,2,DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
partHealth,1,10_ROBLOX_LUAU_REFERENCE.md
partMaxHealth,1,10_ROBLOX_LUAU_REFERENCE.md
pe,1,00_RAW_FORENSIC_REFERENCE.md
physics: reconcile native configuration constants,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
PHYSICS_COLLISION_FORCE_MULTIPLIER = 4096,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER = 4096,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
PHYSICS_COLLISION_PHANTOM_FORCE_MULTIPLIER = 2048,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
PhysicsConfig.luau,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
PhysicsWorld,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
pja,1,DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
player.CharacterAdded,1,10_ROBLOX_LUAU_REFERENCE.md
player.Parent,1,10_ROBLOX_LUAU_REFERENCE.md
PlayerAction,1,03_NETWORK_RPC_MANIFEST.md
pointMass * (dx² + dy²),1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"pointMass = componentMass / max(vertexCount, 1)",1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
PointToObjectSpace,1,10_ROBLOX_LUAU_REFERENCE.md
PREPROCESSING_01_06/DECOMPILED_SOURCE/,1,01_GAME_STRUCTURE_INVENTORY.md
PurchaseItem,1,03_NETWORK_RPC_MANIFEST.md
pwa.b,2,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
pwa.java,4,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
q,1,01_GAME_STRUCTURE_INVENTORY.md
q[],1,01_GAME_STRUCTURE_INVENTORY.md
qb,5,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md; DEFINITIVE_VALUES/README.md
qb.a,5,00_DEFINITIVE_ORIGINAL_JAR.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md; DEFINITIVE_VALUES/README.md
qb.a[],5,00_DEFINITIVE_ORIGINAL_JAR.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md; DEFINITIVE_VALUES/README.md
qb.java,6,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/README.md; DEFINITIVE_VALUES/full_jar_semantic_census.md
r,2,01_GAME_STRUCTURE_INVENTORY.md
RAW-DIRECT,1,00_RAW_FORENSIC_REFERENCE.md
RAW-GAP,8,00_RAW_FORENSIC_REFERENCE.md; 00_SOURCE_INDEX.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
RAW-STRUCTURED,1,00_RAW_FORENSIC_REFERENCE.md
RAW_CENSUS_PROVENANCE.md,2,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
Raycast,1,10_ROBLOX_LUAU_REFERENCE.md
README.md,1,00_DEFINITIVE_ORIGINAL_JAR.md
relevant-classes.txt,2,ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
ReplicatedStorage,1,02_BASELINE_GAMEPLAY_LOOP.md
ReplicatedStorage.Shared,1,10_ROBLOX_LUAU_REFERENCE.md
ReplicatedStorage.Shared.Combat.TeamIdentity,1,10_ROBLOX_LUAU_REFERENCE.md
ReplicatedStorage.VoidHunterComponents,1,10_ROBLOX_LUAU_REFERENCE.md
ReplicatedStorage/Shared/Combat/ShieldSystem.luau,1,30_BLOCKED_SHIELD_FORENSICS.md
ReplicatedStorage/VoidHunterComponents.luau,1,26_COMPONENT_DEFINITION_VALIDATION.md
RequestPlayerData,1,03_NETWORK_RPC_MANIFEST.md
RESPAWN_DELAY_SEC,1,02_BASELINE_GAMEPLAY_LOOP.md
RigidBody2D,8,04_DIRECTIVES_AND_CHANGELOG.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
RigidBody2D.luau,6,01_GAME_STRUCTURE_INVENTORY.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ROBLOX-MAPPING,3,00_RAW_FORENSIC_REFERENCE.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
root.CFrame,2,10_ROBLOX_LUAU_REFERENCE.md
round(65536 * sin(pi*i/4096)),1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ROUND_DURATION_SEC,1,02_BASELINE_GAMEPLAY_LOOP.md
rrb,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
rrb.a,7,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
rrb.a(...),1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
"rrb.a(22433, -100 + (n5 + hob.a(random, 200, 118)))",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"rrb.a(22433, angle)",1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
rrb.java,9,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
RUNTIME_RESOLVED_NOT_EMBEDDED,1,DEFINITIVE_VALUES/README.md
s,1,01_GAME_STRUCTURE_INVENTORY.md
ServerScriptService,1,02_BASELINE_GAMEPLAY_LOOP.md
sg,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
sg.java,2,00_RAW_FORENSIC_REFERENCE.md
SHA256.txt,3,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md; ORIGINAL_JAR/PREPROCESSING_01_06/README.md
Shared/Physics/NativeDebrisPhysics.luau,1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
Shared/Physics/PhysicsConfig.luau,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
Shared/Ship/ComponentDefinitionValidator.luau,1,26_COMPONENT_DEFINITION_VALIDATION.md
SHIELDS_DAMAGE_ENERGY_CONVERSION,1,30_BLOCKED_SHIELD_FORENSICS.md
SHIELDS_DIRECTIONAL_ARC,1,30_BLOCKED_SHIELD_FORENSICS.md
SHIELDS_DIRECTIONAL_IDLE_ENERGY_USAGE,1,30_BLOCKED_SHIELD_FORENSICS.md
SHIELDS_DIRECTIONAL_RADIUS,1,30_BLOCKED_SHIELD_FORENSICS.md
SHIELDS_TOGGLE_COOLDOWN,1,30_BLOCKED_SHIELD_FORENSICS.md
ShieldSystem,2,30_BLOCKED_SHIELD_FORENSICS.md
ShieldSystem.luau,3,01_GAME_STRUCTURE_INVENTORY.md; 30_BLOCKED_SHIELD_FORENSICS.md
ship.AncestryChanged,1,10_ROBLOX_LUAU_REFERENCE.md
ShipRegistry,3,10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md
ShipRegistry.IsOwner,1,10_ROBLOX_LUAU_REFERENCE.md
ShipRegistry.UnregisterShip,1,10_ROBLOX_LUAU_REFERENCE.md
ShipSocketGraph,2,04_DIRECTIVES_AND_CHANGELOG.md; 26_COMPONENT_DEFINITION_VALIDATION.md
ShipSocketGraph.luau,2,01_GAME_STRUCTURE_INVENTORY.md
SIMULATION → PHYSICS → COMPONENTS → COMBAT → ...,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
sin/cos,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
SOURCE -> OLD -> NEW -> TEST -> STATUS,1,00_RAW_FORENSIC_REFERENCE.md
SOURCE_MANIFEST.txt,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
source_status=ASSIGN,1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
source_status=DECL,1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
sp.p,3,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
spawn,1,10_ROBLOX_LUAU_REFERENCE.md
SPRINT_WALKSPEED,1,02_BASELINE_GAMEPLAY_LOOP.md
sqrt,1,DEFINITIVE_VALUES/JAR_CENSUS.md
sqrt(area) * z / 64,1,00_RAW_FORENSIC_REFERENCE.md
src/roblox/*,1,00_SOURCE_INDEX.md
src/roblox/ReplicatedStorage/Shared/Combat/NativeWeaponConfig.luau,1,34_NATIVE_WEAPON_PARAMETER_CONTRACT.md
src/roblox/ReplicatedStorage/Shared/Physics/NativeThrusterOperator.luau,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
src/roblox/ReplicatedStorage/Shared/Physics/NativeTrigTable.luau,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
src/roblox/ReplicatedStorage/Shared/Physics/ThrusterBindingSolver.luau,2,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
src/roblox/ReplicatedStorage/VoidHunterComponents.luau,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
STAMINA_DRAIN_SEC,1,02_BASELINE_GAMEPLAY_LOOP.md
STAMINA_RECOVERY_DELAY,1,02_BASELINE_GAMEPLAY_LOOP.md
StarterPlayerScripts,1,02_BASELINE_GAMEPLAY_LOOP.md
state.TypeName,1,10_ROBLOX_LUAU_REFERENCE.md
StateUpdate,1,03_NETWORK_RPC_MANIFEST.md
STRING_LITERAL_INDEX.txt,2,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
StructuralAuthority,12,04_DIRECTIVES_AND_CHANGELOG.md; 10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md; 26_COMPONENT_DEFINITION_VALIDATION.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
StructuralAuthority.AttachComponent,1,10_ROBLOX_LUAU_REFERENCE.md
StructuralAuthority.DetachComponent,3,10_ROBLOX_LUAU_REFERENCE.md
StructuralAuthority.ReplaceComponent,1,10_ROBLOX_LUAU_REFERENCE.md
StructuralAuthority.SeverDisconnected,1,10_ROBLOX_LUAU_REFERENCE.md
summary.txt,4,00_RAW_FORENSIC_REFERENCE.md
SUPERSEDED,1,00_SOURCE_INDEX.md
T,1,01_GAME_STRUCTURE_INVENTORY.md
t,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
t += n5,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
TAB,1,01_GAME_STRUCTURE_INVENTORY.md
table.clear,2,10_ROBLOX_LUAU_REFERENCE.md
table.clear(t),1,10_ROBLOX_LUAU_REFERENCE.md
task,1,10_ROBLOX_LUAU_REFERENCE.md
task.defer,1,10_ROBLOX_LUAU_REFERENCE.md
task.delay,1,10_ROBLOX_LUAU_REFERENCE.md
task.spawn,1,10_ROBLOX_LUAU_REFERENCE.md
task.wait,1,10_ROBLOX_LUAU_REFERENCE.md
TeamIdentity,7,04_DIRECTIVES_AND_CHANGELOG.md; 10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md
TeamIdentity.BLUE,2,10_ROBLOX_LUAU_REFERENCE.md
TeamIdentity.Get,1,10_ROBLOX_LUAU_REFERENCE.md
TeamIdentity.Set,5,10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md
TeamIdentity.YELLOW,3,10_ROBLOX_LUAU_REFERENCE.md
Thermal,1,01_GAME_STRUCTURE_INVENTORY.md
this.i,1,01_GAME_STRUCTURE_INVENTORY.md
this.i -= damage,1,01_GAME_STRUCTURE_INVENTORY.md
this.n,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
this.r,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
THRUSTER_BOOSTER_FORCE,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
THRUSTER_BOOSTER_FORCE = 1024,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
thruster_count * force,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
THRUSTER_FORCE,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
THRUSTER_FORCE = 192,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
THRUSTER_SMALL_FORCE,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
THRUSTER_SMALL_FORCE = 16,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
ThrusterBindingSolver,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
